gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
COL201905260,COL,0,0,0,0,1,4,1,0,2,,,,,,,,,,,,,,,,,,,,10,blacb001,value,44,35,8,12,2,1,1,7,2,1,0,6,0,9,0,0,2,0,2,27,0,42,11,3,1,0,7,7,2,0,5,0,0,0,2,1,0,0,0,27,17,1,0,0,0,0,0,0,tapir001,stort001,dahld001,arenn001,murpd006,rodgb002,desmi001,woltt001,marqg001,marqg001,woltt001,murpd006,rodgb002,arenn001,stort001,tapir001,desmi001,dahld001,,20190526,0,DEN02,h,BAL,1,0,0,regular,y,y
HOU201905260,BOS,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,6,coraa001,value,37,34,4,6,1,0,1,3,0,1,0,2,0,8,3,0,0,0,2,27,0,33,4,1,0,0,1,1,2,0,10,1,0,0,0,0,0,0,1,27,8,0,0,0,1,0,0,0,benia002,bettm001,dever001,martj006,chavm001,vazqc001,pears001,bradj001,nunee002,rodre004,vazqc001,pears001,chavm001,dever001,nunee002,benia002,bradj001,bettm001,martj006,20190526,0,HOU03,v,HOU,1,0,0,regular,y,y
HOU201905260,HOU,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,hinca001,value,33,30,1,4,1,0,0,1,0,0,1,2,0,10,0,0,0,0,0,27,0,37,6,1,0,1,4,2,2,0,8,0,2,1,0,1,3,0,1,27,4,2,0,0,1,2,3,0,diaza003,brega001,branm003,corrc001,gurry001,reddj001,chirr001,marij002,fishd001,verlj001,chirr001,gurry001,diaza003,brega001,corrc001,fishd001,marij002,reddj001,branm003,20190526,0,HOU03,h,BOS,0,1,0,regular,y,y
KCA201905260,NYA,0,1,0,0,0,3,0,0,3,0,,,,,,,,,,,,,,,,,,,7,boona001,value,44,40,7,11,1,0,1,7,0,0,0,4,0,7,0,0,2,0,1,29,0,47,14,1,0,4,8,8,3,0,11,0,0,0,0,0,1,0,0,29,11,1,0,0,0,0,1,0,lemad001,voitl001,hicka001,sancg002,torrg001,morak001,frazc001,urshg001,maybc001,germd001,sancg002,morak001,lemad001,urshg001,torrg001,maybc001,hicka001,frazc001,voitl001,20190526,0,KAN06,v,KCA,0,1,0,regular,y,y
KCA201905260,KCA,0,3,0,1,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,10,yoste001,value,47,44,8,14,1,0,4,8,0,0,0,3,0,11,1,0,0,0,1,30,0,44,11,1,0,1,7,4,4,0,7,0,0,0,0,0,0,0,0,30,11,1,2,0,0,0,0,0,lopen001,merrw001,mondr003,gorda001,dozih001,solej001,ohear001,maldm001,hamib001,duffd001,maldm001,ohear001,lopen001,dozih001,mondr003,gorda001,hamib001,merrw001,solej001,20190526,0,KAN06,h,NYA,1,0,0,regular,y,y
MIL201905260,PHI,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,0,kaplg001,value,28,28,1,1,0,0,1,1,0,0,0,0,0,12,0,0,0,0,0,24,0,39,12,3,0,5,9,9,4,0,8,0,1,0,0,0,2,0,0,24,7,0,1,0,0,1,2,0,mccua001,seguj002,harpb003,hoskr001,hernc005,herro001,knapa001,franm004,efliz001,efliz001,knapa001,hoskr001,hernc005,franm004,seguj002,mccua001,herro001,harpb003,,20190526,0,MIL06,v,MIL,0,1,0,regular,y,y
MIL201905260,MIL,0,0,1,2,4,0,0,2,,,,,,,,,,,,,,,,,,,,,6,counc001,value,39,35,9,12,3,0,5,9,0,0,0,4,0,8,2,0,1,0,0,27,0,28,1,0,0,1,1,1,0,0,12,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,gameb001,yelic001,braur002,mousm001,grany001,pereh001,thame001,arcio002,woodb005,woodb005,grany001,thame001,pereh001,mousm001,arcio002,braur002,gameb001,yelic001,,20190526,0,MIL06,h,PHI,1,0,0,regular,y,y
MIN201905260,CHA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,8,rentr001,value,35,32,0,5,1,0,0,0,0,0,0,3,0,16,0,0,0,0,0,24,0,32,6,1,0,2,7,7,2,0,8,0,0,0,0,0,1,0,0,24,9,1,0,0,0,0,1,0,tilsc001,moncy001,abrej003,alony001,jimee001,rondj002,sancc001,zavas001,cordr001,coved001,zavas001,alony001,sancc001,moncy001,rondj002,jimee001,tilsc001,cordr001,abrej003,20190526,0,MIN04,v,MIN,0,1,0,regular,y,y
MIN201905260,MIN,0,0,4,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,1,baldr001,value,32,30,7,6,1,0,2,7,0,0,0,2,0,8,1,0,0,0,0,27,0,35,5,1,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,keplm001,polaj001,gonzm002,rosae001,cronc002,arral001,astuw001,castj006,buxtb001,odorj001,castj006,cronc002,arral001,astuw001,polaj001,gonzm002,buxtb001,keplm001,rosae001,20190526,0,MIN04,h,CHA,1,0,0,regular,y,y
NYN201905260,DET,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,gardr001,value,35,33,3,6,0,0,1,3,0,0,0,2,0,13,3,0,0,0,0,24,0,32,8,1,0,1,4,4,1,0,8,1,0,0,0,0,1,0,0,24,10,0,2,0,0,0,1,0,goodn002,lugod001,castn001,stewc002,rodrr009,dixob001,hickj001,jonej006,turns003,turns003,hickj001,dixob001,goodn002,lugod001,rodrr009,stewc002,jonej006,castn001,,20190526,0,NYC20,v,NYN,0,1,0,regular,y,y
NYN201905260,NYN,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,4,callm001,value,32,30,4,8,1,0,1,4,0,0,1,1,0,8,1,0,2,0,0,27,0,35,6,0,0,1,3,3,2,0,13,0,0,0,0,0,3,0,0,27,9,0,0,0,0,0,3,0,rosaa003,smitd008,confm001,ramow001,frazt001,gomec002,hecha001,lagaj001,wheez001,wheez001,ramow001,smitd008,hecha001,frazt001,rosaa003,gomec002,lagaj001,confm001,,20190526,0,NYC20,h,DET,1,0,0,regular,y,y
OAK201905260,SEA,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,7,servs002,value,35,30,1,6,1,0,1,1,0,0,1,4,0,6,0,0,3,0,0,24,0,35,7,2,0,2,7,5,3,0,5,0,0,0,0,0,1,0,0,24,10,1,0,0,0,0,1,0,hanim001,seagk001,encae001,santd002,voged001,beckt001,brucj001,murpt002,crawj002,leakm001,murpt002,encae001,beckt001,seagk001,crawj002,santd002,hanim001,brucj001,voged001,20190526,0,OAK01,v,OAK,0,1,0,regular,y,y
