date,homeTeam,awayTeam,homeScore,awayScore
2024-04-18,SFN,ARI,5.0,0.0
2024-04-18,DET,TEX,7.0,9.0
2024-04-18,BOS,CLE,4.0,5.0
2024-04-19,SLN,MIL,1.0,2.0
2024-04-19,SFN,ARI,1.0,17.0
2024-04-19,SDN,TOR,1.0,5.0
2024-04-19,PIT,BOS,1.0,8.0
2024-04-19,WAS,HOU,3.0,5.0
2024-04-19,PHI,CHA,7.0,0.0
2024-04-19,NYA,TBA,5.0,3.0
2024-04-19,KCA,BAL,9.0,4.0
2024-04-19,LAN,NYN,4.0,9.0
2024-04-19,CLE,OAK,10.0,2.0
2024-04-19,CIN,ANA,7.0,1.0
2024-04-19,CHN,MIA,8.0,3.0
2024-04-19,ATL,TEX,8.0,3.0
2024-04-19,MIN,DET,4.0,5.0
2024-04-20,PHI,CHA,9.0,5.0
2024-04-20,WAS,HOU,5.0,4.0
2024-04-20,SLN,MIL,5.0,12.0
2024-04-20,SFN,ARI,7.0,3.0
2024-04-20,SDN,TOR,2.0,5.0
2024-04-20,PIT,BOS,2.0,4.0
2024-04-20,MIN,DET,4.0,3.0
2024-04-20,NYA,TBA,0.0,2.0
2024-04-20,KCA,BAL,7.0,9.0
2024-04-20,LAN,NYN,4.0,6.0
2024-04-20,COL,SEA,0.0,7.0
2024-04-20,CLE,OAK,6.0,3.0
2024-04-20,CIN,ANA,7.0,5.0
2024-04-20,CHN,MIA,5.0,3.0
2024-04-20,CHN,MIA,2.0,3.0
2024-04-20,ATL,TEX,5.0,2.0
2024-04-21,WAS,HOU,6.0,0.0
2024-04-21,SLN,MIL,0.0,2.0
2024-04-21,SFN,ARI,3.0,5.0
2024-04-21,PIT,BOS,1.0,6.0
2024-04-21,PHI,CHA,8.0,2.0
2024-04-21,NYA,TBA,5.0,4.0
2024-04-21,MIN,DET,1.0,6.0
2024-04-21,SDN,TOR,6.0,3.0
2024-04-21,KCA,BAL,0.0,5.0
2024-04-21,COL,SEA,2.0,10.0
2024-04-21,COL,SEA,2.0,1.0
2024-04-21,CLE,OAK,6.0,2.0
2024-04-21,CIN,ANA,3.0,0.0
2024-04-21,CHN,MIA,3.0,6.0
2024-04-21,ATL,TEX,4.0,6.0
2024-04-21,LAN,NYN,10.0,0.0
2024-04-22,TBA,DET,1.0,7.0
2024-04-22,SLN,ARI,5.0,3.0
2024-04-22,SFN,NYN,5.0,2.0
2024-04-22,PIT,MIL,4.0,2.0
2024-04-22,NYA,OAK,0.0,2.0
2024-04-22,KCA,TOR,3.0,5.0
2024-04-22,COL,SDN,1.0,3.0
2024-04-22,CIN,PHI,0.0,7.0
2024-04-22,ATL,MIA,3.0,0.0
2024-04-22,ANA,BAL,2.0,4.0
2024-04-22,MIN,CHA,7.0,0.0
2024-04-23,PIT,MIL,2.0,1.0
2024-04-23,WAS,LAN,1.0,4.0
2024-04-23,TEX,SEA,0.0,4.0
2024-04-23,TBA,DET,2.0,4.0
2024-04-23,SLN,ARI,1.0,14.0
2024-04-23,SFN,NYN,5.0,1.0
2024-04-23,NYA,OAK,4.0,3.0
2024-04-23,COL,SDN,7.0,4.0
2024-04-23,KCA,TOR,3.0,2.0
2024-04-23,CLE,BOS,4.0,1.0
2024-04-23,CIN,PHI,8.0,1.0
2024-04-23,CHN,HOU,7.0,2.0
2024-04-23,ATL,MIA,5.0,0.0
2024-04-23,ANA,BAL,7.0,4.0
2024-04-23,MIN,CHA,6.0,5.0
2024-04-24,WAS,LAN,2.0,11.0
2024-04-24,TEX,SEA,5.0,1.0
2024-04-24,SLN,ARI,5.0,1.0
2024-04-24,SFN,NYN,2.0,8.0
2024-04-24,PIT,MIL,2.0,3.0
2024-04-24,NYA,OAK,7.0,3.0
2024-04-24,MIN,CHA,6.0,3.0
2024-04-24,TBA,DET,7.0,5.0
2024-04-24,COL,SDN,2.0,5.0
