id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g
freed001,Freese,David,R,R,LAN,83,0,0,0,0,52,0,2,0,0,0,0,0,3,39,0,20190329,20191009
freef001,Freeman,Freddie,L,R,ATL,163,0,0,0,0,163,0,0,0,0,0,0,0,0,1,0,20190328,20191009
freef001,Freeman,Freddie,L,R,NLS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20190709,20190709
freek001,Freeland,Kyle,L,L,COL,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190926
freem002,Freeman,Mike,L,R,CLE,75,1,0,1,0,0,33,18,9,6,0,0,6,2,13,6,20190416,20190929
frees001,Freeman,Sam,R,L,ANA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190423,20190423
freid001,Freitas,David,R,R,MIL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,20190901,20190929
freid001,Freitas,David,R,R,SEA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190328,20190328
friem001,Fried,Max,L,L,ATL,45,37,30,7,0,0,0,0,0,0,0,0,0,0,3,5,20190328,20191009
fry-j001,Fry,Jace,L,L,CHA,68,68,0,68,0,0,0,0,0,0,0,0,0,0,0,0,20190330,20190926
fry-p001,Fry,Paul,L,L,BAL,66,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190929
fuenj001,Fuentes,Josh,R,R,COL,24,0,0,0,0,11,0,2,0,0,0,0,0,0,13,0,20190406,20190929
fulmc001,Fulmer,Carson,R,R,CHA,20,20,2,18,0,0,0,0,0,0,0,0,0,0,0,0,20190408,20190924
gagnd001,Gagnon,Drew,R,R,NYN,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,20190416,20190925
galer002,Gale,Rocky,R,R,LAN,5,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,20190411,20190512
gallc001,Gallagher,Cam,R,R,KCA,45,0,0,0,44,0,0,0,0,0,0,0,0,0,2,0,20190403,20190804
gallg001,Gallegos,Giovanny,R,R,SLN,71,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,20190411,20191015
galli001,Galloway,Isaac,R,R,MIA,19,0,0,0,0,0,0,0,0,4,13,2,16,0,4,1,20190416,20190510
gallj002,Gallo,Joey,L,R,ALS,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20190709,20190709
gallj002,Gallo,Joey,L,R,TEX,70,0,0,0,0,0,0,0,0,34,38,0,63,7,0,0,20190328,20190723
gallz001,Gallen,Zac,R,R,ARI,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20190807,20190915
gallz001,Gallen,Zac,R,R,MIA,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20190620,20190730
galvf001,Galvis,Freddy,B,R,CIN,32,0,0,0,0,0,27,0,7,0,0,0,0,0,4,0,20190813,20190914
galvf001,Galvis,Freddy,B,R,TOR,115,0,0,0,0,0,5,0,103,0,0,0,0,5,3,0,20190328,20190811
gameb001,Gamel,Ben,L,L,MIL,135,0,0,0,0,0,0,0,0,71,22,23,109,0,40,2,20190329,20191001
